phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.6,0.026967594400048256,0.13132891058921814,0.0036658793687820435,0.014306151308119297
test,0.8,0.011342593468725681,0.13279885053634644,0.0021959394216537476,0.03401360660791397
test,0.0,0.19579476118087769,0.12998001277446747,-0.004393160343170166,0.016748769208788872
test,0.01,0.12172068655490875,0.12997986376285553,-0.0043930113315582275,0.026941362768411636
test,0.05,0.1140432134270668,0.12999695539474487,-0.004410102963447571,0.028755074366927147
test,0.1,0.10852623730897903,0.13000072538852692,-0.004413872957229614,0.030216850340366364
test,0.2,0.10000000149011612,0.13000623881816864,-0.004419386386871338,0.032793208956718445
test,0.4,0.08557099103927612,0.12992364168167114,-0.00433678925037384,0.038322813808918
test,0.6,0.022646605968475342,0.12577605247497559,-0.0001892000436782837,0.13969334959983826
test,0.8,0.013348765671253204,0.12599807977676392,-0.00041122734546661377,0.2196531742811203
test,0.0,0.19633488357067108,0.12772279977798462,0.007188946008682251,0.0013755158288404346
test,0.01,0.12488426268100739,0.12772136926651,0.00719037652015686,0.002162496093660593
test,0.05,0.11755401641130447,0.1277051419019699,0.0072066038846969604,0.002297341590747237
test,0.1,0.11211420595645905,0.1277085691690445,0.0072031766176223755,0.0024088092613965273
test,0.2,0.10077160596847534,0.12772411108016968,0.007187634706497192,0.0026799386832863092
test,0.4,0.07457561790943146,0.12820956110954285,0.0067021846771240234,0.0036213139537721872
test,0.6,0.0257716067135334,0.128970667719841,0.005941078066825867,0.008982036262750626
test,0.8,0.01145833358168602,0.13032644987106323,0.004585295915603638,0.013468013145029545
test,0.0,0.19783951342105865,0.12403465062379837,-0.005465015769004822,0.0039001558907330036
test,0.01,0.1378086507320404,0.12402962893247604,-0.005459994077682495,0.005599104333668947
test,0.05,0.1299382746219635,0.12401051074266434,-0.005440875887870789,0.005938242189586163
test,0.1,0.12523148953914642,0.1239701360464096,-0.005400501191616058,0.006161429453641176
test,0.2,0.11851852387189865,0.1238296777009964,-0.00526004284620285,0.0065104165114462376
test,0.4,0.10181327909231186,0.12350675463676453,-0.004937119781970978,0.00757862813770771
test,0.6,0.02816358208656311,0.12018503248691559,-0.0016153976321220398,0.02054794505238533
test,0.8,0.010030864737927914,0.11962513625621796,-0.001055501401424408,0.03461538627743721
test,0.0,0.19679784774780273,0.12056804448366165,-0.0007368996739387512,0.008625759743154049
test,0.01,0.14660494029521942,0.12056820839643478,-0.0007370635867118835,0.011578947305679321
