sequence_id,frame_id,probe_bucket,target_mask_priority,disparity_mae,bad_3px,depth_mae,boundary_disp_mae_px,raw_temporal_disp_diff_px,samepixel_temporal_motion_mismatch_px,samepixel_temporal_error_variation_px,valid_pixel_pct
dataset_7_keyframe_3,000042,high_boundary_error,boundary_artifact_mask,49.21151614790104,49.04359974905339,8.305747228905489,108.60320281982422,5.542481422424316,6.4127516746521,7.212185859680176,0.17146987915039064
dataset_7_keyframe_3,000049,high_boundary_error,boundary_artifact_mask,46.28591384255253,50.098296792897266,9.162357288509375,108.35794830322266,5.067691326141357,6.199681758880615,6.668879508972168,0.168426513671875
dataset_7_keyframe_3,000045,high_boundary_error,boundary_artifact_mask,46.75520790380077,52.49560340213465,8.631330242045715,108.24760437011719,5.252755641937256,6.49942684173584,7.2407917976379395,0.16962509155273436
dataset_5_keyframe_2,000427,high_temporal_flicker,flicker_mask,55.814475798753584,95.00776667239018,14.19215189938259,86.99494934082031,424.05108642578125,420.2030944824219,392.2992858886719,0.19106216430664064
dataset_5_keyframe_2,000431,high_temporal_flicker,flicker_mask,59.3797795705131,96.34701379716418,11.244415509810615,87.2818832397461,334.5888366699219,330.92657470703125,332.4662170410156,0.1917694091796875
dataset_6_keyframe_4,001092,high_temporal_flicker,flicker_mask,4.555329793825951,59.23982765180001,4.128043108517089,6.089852333068848,76.47929382324219,76.16553497314453,76.54754638671875,0.3449310302734375
dataset_5_keyframe_3,000801,high_temporal_flicker,flicker_mask,85.46459272985389,99.67150998075488,15.933072833792602,61.290382385253906,75.73342895507812,75.66864776611328,75.74031066894531,0.3056495666503906
dataset_6_keyframe_4,001095,high_temporal_flicker,flicker_mask,4.709015756768058,58.31485587583148,4.30580484259155,5.759676456451416,68.99181365966797,68.5088882446289,69.09645080566406,0.3409889221191406
dataset_5_keyframe_2,000777,high_temporal_flicker,flicker_mask,8.41432019297371,59.42897992530346,4.079130177014793,11.732569694519043,63.771873474121094,42.132198333740234,40.52271270751953,0.052294921875
dataset_7_keyframe_4,001915,high_temporal_flicker,flicker_mask,2.7000636738431916,38.11415586956194,2.307347239618217,3.755378484725952,63.76188278198242,5.9720892906188965,4.31397819519043,0.050699615478515626
dataset_5_keyframe_2,000648,high_temporal_flicker,flicker_mask,29.672018625328082,99.7239030306158,10.750498442054386,24.486637115478516,57.2447395324707,55.65095520019531,57.82187271118164,0.05913467407226562
dataset_7_keyframe_4,000774,high_temporal_flicker,flicker_mask,8.244475999622031,71.76246230264324,1.350001956377339,12.981884956359863,52.71373748779297,10.83548355102539,8.456086158752441,0.0516082763671875
dataset_6_keyframe_4,001080,high_temporal_flicker,flicker_mask,5.38035300785315,65.87426833467232,4.71773623937004,8.773136138916016,51.95887756347656,51.1357536315918,50.32070541381836,0.372259521484375
dataset_6_keyframe_4,001090,high_temporal_flicker,flicker_mask,59.70017471868077,99.86535973510514,33.446437559083265,37.119815826416016,50.939334869384766,50.517433166503906,51.230655670166016,0.34792327880859375
dataset_5_keyframe_2,000641,high_temporal_flicker,flicker_mask,54.85586111396306,98.20222592816,17.183671604921653,14.124594688415527,50.555824279785156,43.621726989746094,41.69781494140625,0.06450576782226562
dataset_5_keyframe_2,000428,high_temporal_flicker,flicker_mask,67.6630890446869,96.43771799799433,12.811405690947474,82.11239624023438,47.01811599731445,46.188514709472656,27.73155403137207,0.19095535278320314
dataset_5_keyframe_3,000889,high_temporal_flicker,flicker_mask,22.48203601702378,92.48348249488971,6.0307582745443895,11.807034492492676,46.27963638305664,44.24397277832031,19.237829208374023,0.19930877685546874
dataset_5_keyframe_2,000385,high_temporal_flicker,flicker_mask,14.701594840527424,90.49921831005328,6.276452873637172,19.719717025756836,45.19219207763672,44.328216552734375,32.51852798461914,0.19373855590820313
dataset_5_keyframe_3,000803,high_temporal_flicker,flicker_mask,45.87902201672079,92.617461590796,8.721181832337079,44.82269287109375,44.43599319458008,44.30976486206055,42.3704833984375,0.3005340576171875
dataset_5_keyframe_2,000444,high_temporal_flicker,flicker_mask,48.19502937991174,97.5242735286522,12.311286022561854,33.403221130371094,41.482948303222656,40.47795104980469,39.674530029296875,0.19793624877929689
dataset_5_keyframe_2,000655,high_temporal_flicker,flicker_mask,64.88772393527712,100.0,19.258334155551346,27.16792106628418,40.08102035522461,39.49160385131836,40.154197692871094,0.0538116455078125
dataset_6_keyframe_4,001088,high_temporal_flicker,flicker_mask,6.075089550622851,68.90458904480685,5.46271720690711,7.434699058532715,39.7535400390625,39.2138786315918,39.6884651184082,0.3520393371582031
