phase,sequence,backbone,frame_id,valid_count,raw_warped_disparity_difference,fused_warped_disparity_difference,raw_tepe,fused_tepe
test,dataset_7_keyframe_4,RAFT-Stereo,['000054'],2914,0.0969148725271225,0.07084846496582031,0.09095498919487,0.074972003698349
test,dataset_7_keyframe_4,RAFT-Stereo,['000054'],3257,0.06689663976430893,0.06246599555015564,0.06373666971921921,0.061032120138406754
test,dataset_7_keyframe_4,RAFT-Stereo,['000054'],3251,0.10193531960248947,0.10189765691757202,0.06879106163978577,0.06739901006221771
test,dataset_7_keyframe_4,RAFT-Stereo,['000054'],3306,0.09707286953926086,0.08995320647954941,0.07358159124851227,0.06909539550542831
test,dataset_7_keyframe_4,RAFT-Stereo,['000058'],3537,0.07606811076402664,0.0683092549443245,0.06274526566267014,0.0599144846200943
test,dataset_7_keyframe_4,RAFT-Stereo,['000058'],3598,0.09463521093130112,0.08302169293165207,0.0799461379647255,0.07137978076934814
test,dataset_7_keyframe_4,RAFT-Stereo,['000058'],3801,0.07994092255830765,0.07028642296791077,0.061242591589689255,0.05388423427939415
test,dataset_7_keyframe_4,RAFT-Stereo,['000058'],3877,0.07316721975803375,0.060601163655519485,0.0743342712521553,0.06226237490773201
test,dataset_7_keyframe_4,RAFT-Stereo,['000062'],3799,0.07781112194061279,0.06573621928691864,0.0616978220641613,0.05970194563269615
test,dataset_7_keyframe_4,RAFT-Stereo,['000062'],3770,0.07053706049919128,0.059583768248558044,0.05556488409638405,0.04958203807473183
test,dataset_7_keyframe_4,RAFT-Stereo,['000062'],3912,0.05987204611301422,0.05098887160420418,0.051324766129255295,0.04243040084838867
test,dataset_7_keyframe_4,RAFT-Stereo,['000062'],3924,0.06226573511958122,0.05652878060936928,0.04954306036233902,0.04349370673298836
test,dataset_7_keyframe_4,RAFT-Stereo,['000066'],4049,0.0657123550772667,0.04979146271944046,0.0569920688867569,0.04906861484050751
test,dataset_7_keyframe_4,RAFT-Stereo,['000066'],4145,0.07069408893585205,0.05984553322196007,0.052613530308008194,0.044416069984436035
test,dataset_7_keyframe_4,RAFT-Stereo,['000066'],4524,0.05274030566215515,0.04633138328790665,0.040970005095005035,0.0365447923541069
test,dataset_7_keyframe_4,RAFT-Stereo,['000066'],4610,0.06284436583518982,0.05147673562169075,0.047282297164201736,0.03854098916053772
test,dataset_7_keyframe_4,RAFT-Stereo,['000070'],4740,0.04825867712497711,0.03547440469264984,0.04373187571763992,0.03615264594554901
test,dataset_7_keyframe_4,RAFT-Stereo,['000070'],4859,0.05731077864766121,0.04928069934248924,0.052417654544115067,0.04545934125781059
test,dataset_7_keyframe_4,RAFT-Stereo,['000070'],5016,0.07776419073343277,0.0716901570558548,0.05816264450550079,0.054694872349500656
test,dataset_7_keyframe_4,RAFT-Stereo,['000070'],5197,0.06212090700864792,0.059912506490945816,0.04973071068525314,0.04694710671901703
test,dataset_7_keyframe_4,RAFT-Stereo,['000074'],5396,0.08127912878990173,0.07045299559831619,0.05208011344075203,0.05288755148649216
test,dataset_7_keyframe_4,RAFT-Stereo,['000074'],5550,0.0864805057644844,0.08457829803228378,0.05053383484482765,0.050693169236183167
test,dataset_7_keyframe_4,RAFT-Stereo,['000074'],5889,0.05043525621294975,0.03568277880549431,0.04587119072675705,0.03328394889831543
test,dataset_7_keyframe_4,RAFT-Stereo,['000074'],5881,0.05247807875275612,0.0428985171020031,0.041053444147109985,0.03517850860953331
test,dataset_7_keyframe_4,RAFT-Stereo,['000078'],6015,0.10622482001781464,0.09439247101545334,0.04823315516114235,0.04868616536259651
test,dataset_7_keyframe_4,RAFT-Stereo,['000078'],6293,0.04805602505803108,0.03447159752249718,0.04165598750114441,0.034047357738018036
test,dataset_7_keyframe_4,RAFT-Stereo,['000078'],6421,0.06298910081386566,0.05707009509205818,0.044521596282720566,0.04138432443141937
test,dataset_7_keyframe_4,RAFT-Stereo,['000078'],6595,0.10754581540822983,0.11259430646896362,0.04171157628297806,0.047252047806978226
test,dataset_7_keyframe_4,RAFT-Stereo,['000082'],6804,0.04580611363053322,0.033580075949430466,0.035519715398550034,0.03606506064534187
test,dataset_7_keyframe_4,RAFT-Stereo,['000082'],6922,0.052381131798028946,0.04365624487400055,0.034985803067684174,0.030773434787988663
test,dataset_7_keyframe_4,RAFT-Stereo,['000082'],6993,0.09465143084526062,0.0904548168182373,0.03948969393968582,0.04199353605508804
test,dataset_7_keyframe_4,RAFT-Stereo,['000082'],7184,0.09170034527778625,0.08476334065198898,0.040081143379211426,0.03992452844977379
test,dataset_7_keyframe_4,RAFT-Stereo,['000086'],7277,0.0681605413556099,0.05551381781697273,0.04680227115750313,0.05006222799420357
test,dataset_7_keyframe_4,RAFT-Stereo,['000086'],7439,0.07142594456672668,0.0621638223528862,0.04118947684764862,0.03928373008966446
test,dataset_7_keyframe_4,RAFT-Stereo,['000086'],7546,0.05989957973361015,0.0473211444914341,0.06626979261636734,0.04999876022338867
test,dataset_7_keyframe_4,RAFT-Stereo,['000086'],7520,0.06320041418075562,0.055842768400907516,0.04403715208172798,0.04070102050900459
test,dataset_7_keyframe_4,RAFT-Stereo,['000090'],7564,0.04850528761744499,0.033817656338214874,0.04822900518774986,0.040756870061159134
test,dataset_7_keyframe_4,RAFT-Stereo,['000090'],7526,0.040687449276447296,0.03193691000342369,0.043637070804834366,0.0367184616625309
test,dataset_7_keyframe_4,RAFT-Stereo,['000090'],7523,0.05392017215490341,0.04584161937236786,0.04219368100166321,0.037982672452926636
test,dataset_7_keyframe_4,RAFT-Stereo,['000090'],7455,0.04398617148399353,0.035940125584602356,0.0437730997800827,0.036573950201272964
test,dataset_7_keyframe_4,RAFT-Stereo,['000094'],7452,0.043142665177583694,0.03070998378098011,0.04715403541922569,0.03935519605875015
test,dataset_7_keyframe_4,RAFT-Stereo,['000094'],7346,0.05259789898991585,0.04105232283473015,0.040277522057294846,0.03413232043385506
test,dataset_7_keyframe_4,RAFT-Stereo,['000094'],7312,0.042259082198143005,0.028360970318317413,0.04975900799036026,0.03622980788350105
test,dataset_7_keyframe_4,RAFT-Stereo,['000094'],7236,0.0549447163939476,0.041066475212574005,0.04541889205574989,0.0366535484790802
test,dataset_7_keyframe_4,RAFT-Stereo,['000098'],7283,0.04824002832174301,0.02756839618086815,0.05353521555662155,0.03568391874432564
test,dataset_7_keyframe_4,RAFT-Stereo,['000098'],7145,0.08500177413225174,0.06182214245200157,0.07023920118808746,0.05145716294646263
test,dataset_7_keyframe_4,RAFT-Stereo,['000098'],7040,0.0597093440592289,0.02728903479874134,0.06566891819238663,0.03380126133561134
test,dataset_7_keyframe_4,RAFT-Stereo,['000098'],7012,0.07539688795804977,0.04431046172976494,0.0700310617685318,0.04163318872451782
test,dataset_7_keyframe_4,RAFT-Stereo,['000102'],6994,0.06053360179066658,0.026384208351373672,0.06304486840963364,0.03184419497847557
test,dataset_7_keyframe_4,RAFT-Stereo,['000102'],6885,0.08695381879806519,0.048303257673978806,0.07938569784164429,0.04503396898508072
test,dataset_7_keyframe_4,RAFT-Stereo,['000102'],6722,0.0664292424917221,0.021757453680038452,0.07225901633501053,0.02890755608677864
test,dataset_7_keyframe_4,RAFT-Stereo,['000102'],6698,0.0481465607881546,0.030101967975497246,0.04842677339911461,0.033514101058244705
test,dataset_7_keyframe_4,RAFT-Stereo,['000106'],6576,0.08147222548723221,0.07151243835687637,0.06006262078881264,0.05410943925380707
test,dataset_7_keyframe_4,RAFT-Stereo,['000106'],6596,0.06465259194374084,0.028049232438206673,0.07399778813123703,0.037350844591856
test,dataset_7_keyframe_4,RAFT-Stereo,['000106'],6436,0.10794096440076828,0.07340038567781448,0.09034062176942825,0.05881303548812866
test,dataset_7_keyframe_4,RAFT-Stereo,['000106'],6393,0.0666307881474495,0.03150268644094467,0.07136432081460953,0.03670661151409149
test,dataset_7_keyframe_4,RAFT-Stereo,['000110'],6400,0.04358813166618347,0.036065101623535156,0.04671330377459526,0.04039224609732628
