dataset,backbone,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,StereoAnywhere,a2_no_authorization,0.5,320,2400082,0.9299963128261026,0.8803602989579238,-0.049636013398261764,0.08226135600785381,0.057223877976410695,2.17480123230305,0.00044012680088167445,0.4013671199567348,0.6273769508176981,0.3515752124279502,0.13217484247875722,0.05363179019013409,0.046875,0.02292735129594803,-0.0011334545270074152,0.009658329691737891,0.2815599357478895,0.26913198551553147
SCARED-C-test,StereoAnywhere,m0_scared_only,0.5,320,2400082,0.9299963128261026,0.8970623391402738,-0.0329339783133746,0.08347048121954143,0.05741803813389466,2.209490594007428,0.0003031689157166652,0.05834717313825111,0.7737756894557192,0.018396919367669955,0.009235064155437228,0.006206714071828157,0.03125,0.02046150341629982,-0.0009686014032922669,0.006144241862930362,0.2815599357478895,0.2660156669283703
SCARED-C-test,StereoAnywhere,multidomain,0.5,320,2400082,0.9299963128261026,0.9061215478579281,-0.023874767636915557,0.08453711166988459,0.05780094168127732,2.235401434565731,0.0002083178210406686,0.020493466473228833,0.863457081283292,0.0021025608488332934,0.0017033280785580768,0.00175575574757466,0.0375,0.017374876886606216,0.0,0.002527829343453053,0.2815599357478895,0.26834690090708696
SCARED-C-test,StereoAnywhere,oracle_authorization,0.5,320,2400082,0.9299963128261026,0.8587818889250752,-0.07121442467773163,0.07999851637089297,0.056810142103293326,2.1260174705664623,0.0,0.2591753115101901,0.971575874297877,0.21094571312831575,0.0,0.03012271289208631,0.0,-0.013914642855525017,-0.02582924561575055,-0.01855547484010458,0.2815599357478895,0.26309977070067303
SCARED-C-test,StereoAnywhere,raw,0.9,320,46474,1.5164394520225386,1.5164394520225386,0.0,0.2866979395447988,0.15772259787342105,2.8250224781494677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37045078879408966,0.37045078879408966
SCARED-C-test,StereoAnywhere,a2_no_authorization,0.9,320,46474,1.5164394520225386,1.4311852809802443,-0.08525415225394235,0.28013512941396623,0.14866376967823558,2.6433234622702715,0.004802779545338239,0.40850798295821317,0.6516196997629707,0.24126710054456102,0.10768362332315048,0.0675040745852663,0.046511627906976744,0.2402237206697464,-0.006225941213779212,0.1141336084157235,0.37045078879408966,0.3818356050994824
SCARED-C-test,StereoAnywhere,m0_scared_only,0.9,320,46474,1.5164394520225386,1.4494584925963627,-0.06698095093612695,0.2800275421011086,0.14950294843476683,2.6673863343239836,0.003627631349372202,0.18324224297456643,0.7167684358853922,0.03984592907424625,0.028224199760924426,0.025943454027766006,0.07364341085271318,0.2691797614097595,0.00398532532854003,0.1405231370031838,0.37045078879408966,0.3806833341065149
SCARED-C-test,StereoAnywhere,multidomain,0.9,320,46474,1.5164394520225386,1.4676622228312421,-0.04877721822614048,0.28359943201218174,0.1516977241182635,2.7294941700771402,0.003218884143928203,0.08946938072900977,0.6647426647426647,0.02111834240935051,0.01939168548279984,0.02235199250745266,0.08527131782945736,0.2113720327615738,0.01212889770977199,0.09583557575941155,0.37045078879408966,0.3705598305418732
SCARED-C-test,StereoAnywhere,oracle_authorization,0.9,320,46474,1.5164394520225386,1.381236661913318,-0.13520278951620723,0.2664285413919276,0.14461849663645804,2.5351806851376253,0.0,0.2710763007272884,0.9819812668677568,0.12724133351042635,0.0,0.027497500658023154,0.0,0.0,-0.04569709561765197,-0.002263526916503879,0.37045078879408966,0.37299876460401454
Fast-FoundationStereo,Fast-FoundationStereo,raw,0.05,320,4300609,1.0486879476238786,1.0486879476238786,0.0,0.0811745500840984,0.05423789984117266,2.9372001404853507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357183019395505,0.1357183019395505
