sequence_id,method,frames,depth_mae_mm,disp_mae_px,bad_2mm_pct,raw_temporal_diff,motion_compensated_temporal_mae,runtime_ms,peak_vram_mb
dataset_8_keyframe_1,S2M2-L@736+EMA0.50,12,2.1929649313290915,1.940571258465449,46.22612315738319,0.19044922563162717,0.20170580527999185,187.76713038364855,1672.4599609375
dataset_8_keyframe_1,StereoAnyVideo,12,1.961293488740921,1.7451794147491455,39.588171659991936,0.19356593218716708,0.2006408382545818,59.78355208450617,3944.68212890625
dataset_8_keyframe_1,ConvGRU V2 e40,12,2.13092448314031,1.853981117407481,45.107766056795846,0.3884286487644369,0.36567084084857593,209.6877822213663,2679.9345703125
dataset_8_keyframe_2,S2M2-S@512,12,1.4042352040608723,2.0932885110378265,22.72297077674513,0.3627814677628604,0.35221734236587177,60.974148300906215,371.33447265625
dataset_8_keyframe_2,S2M2-L@736,12,1.3160148759682972,1.9683167934417725,20.188626130870833,0.3647524822841991,0.3526481254534288,187.76713038364855,1672.4599609375
dataset_8_keyframe_2,Fast-FoundationStereo ONNX,12,1.2430328230063121,1.8564397891362507,17.88179704499602,0.36656287854368036,0.35617398673837836,45.3597867449459,nan
dataset_8_keyframe_2,S2M2-S@512+EMA0.50,12,1.419761210680008,2.1120345195134482,23.31370673548155,0.2454461631449786,0.23802422393452038,60.974148300906215,371.33447265625
dataset_8_keyframe_2,S2M2-L@736+EMA0.50,12,1.3356971442699432,1.995527595281601,20.88246448113543,0.24791758439757608,0.23847388950261203,187.76713038364855,1672.4599609375
dataset_8_keyframe_2,StereoAnyVideo,12,1.2907827695210774,1.8923010329405467,19.04655703501727,0.2545875297351317,0.23998439853841608,59.58561758355549,3944.68212890625
dataset_8_keyframe_2,ConvGRU V2 e40,12,1.3757524092992146,2.0462005734443665,21.46914379626968,0.43707622994076123,0.38249044662172144,209.7173113849026,2679.9345703125
