backbone,sequence,support_coverage
CREStereo,dataset_7_keyframe_1,0.9939328569502495
CREStereo,dataset_7_keyframe_1,0.9890243902439024
CREStereo,dataset_7_keyframe_1,0.9860293110532804
CREStereo,dataset_7_keyframe_1,0.9835883171070932
CREStereo,dataset_7_keyframe_1,0.9820259161209419
CREStereo,dataset_7_keyframe_1,0.9786995515695067
CREStereo,dataset_7_keyframe_1,0.9724254361283061
CREStereo,dataset_7_keyframe_1,0.9737700269388913
CREStereo,dataset_7_keyframe_1,0.9673082366260968
CREStereo,dataset_7_keyframe_1,0.9686401350021094
CREStereo,dataset_7_keyframe_1,0.9681184173071449
CREStereo,dataset_7_keyframe_1,0.9714731762702242
CREStereo,dataset_7_keyframe_1,0.9730423620025674
CREStereo,dataset_7_keyframe_1,0.9776855957659848
CREStereo,dataset_7_keyframe_1,0.9788782645925503
CREStereo,dataset_7_keyframe_1,0.9830337886412652
CREStereo,dataset_7_keyframe_1,0.9853940708604483
CREStereo,dataset_7_keyframe_1,0.9864648522776889
CREStereo,dataset_7_keyframe_1,0.9858888565609544
CREStereo,dataset_7_keyframe_1,0.9904355503237199
CREStereo,dataset_7_keyframe_1,0.9877372262773723
CREStereo,dataset_7_keyframe_1,0.9913818288051417
CREStereo,dataset_7_keyframe_1,0.9947795823665894
CREStereo,dataset_7_keyframe_1,0.9994088961134919
CREStereo,dataset_7_keyframe_1,0.9994128871275503
CREStereo,dataset_7_keyframe_1,0.9986723705561292
CREStereo,dataset_7_keyframe_1,0.9979511195668082
CREStereo,dataset_7_keyframe_1,0.9966101694915255
CREStereo,dataset_7_keyframe_1,0.9968847352024922
CREStereo,dataset_7_keyframe_1,0.9974592736511733
CREStereo,dataset_7_keyframe_1,0.9966646452395391
CREStereo,dataset_7_keyframe_1,0.997078271566969
CREStereo,dataset_7_keyframe_1,0.9962358845671268
CREStereo,dataset_7_keyframe_1,0.9974243399871217
CREStereo,dataset_7_keyframe_1,0.9978737324174027
CREStereo,dataset_7_keyframe_1,0.9971849643980791
CREStereo,dataset_7_keyframe_1,0.9979943172321578
CREStereo,dataset_7_keyframe_1,0.9989844278943805
CREStereo,dataset_7_keyframe_1,0.9984514796971783
CREStereo,dataset_7_keyframe_1,0.9989745342676466
CREStereo,dataset_7_keyframe_1,0.9987878787878788
CREStereo,dataset_7_keyframe_1,0.9980849582172702
CREStereo,dataset_7_keyframe_1,0.9985987038010159
CREStereo,dataset_7_keyframe_1,0.9994698710019438
CREStereo,dataset_7_keyframe_1,0.9992886359594523
CREStereo,dataset_7_keyframe_1,0.9998206921283844
CREStereo,dataset_7_keyframe_1,0.9985693848354793
CREStereo,dataset_7_keyframe_1,0.9990973099837516
CREStereo,dataset_7_keyframe_1,0.9992843084630524
CREStereo,dataset_7_keyframe_1,0.9994633273703041
CREStereo,dataset_7_keyframe_1,0.9996427295462665
CREStereo,dataset_7_keyframe_1,0.9996357012750455
CREStereo,dataset_7_keyframe_1,0.9992812219227314
CREStereo,dataset_7_keyframe_1,0.9989327641408752
CREStereo,dataset_7_keyframe_1,0.9985704074338814
CREStereo,dataset_7_keyframe_1,0.9983683828861494
CREStereo,dataset_7_keyframe_1,0.9983531564501372
CREStereo,dataset_7_keyframe_1,0.9980205146661868
CREStereo,dataset_7_keyframe_1,0.9980061627696212
CREStereo,dataset_7_keyframe_1,0.9974499089253187
CREStereo,dataset_7_keyframe_1,0.9955019791291831
CREStereo,dataset_7_keyframe_1,0.9957127545551983
CREStereo,dataset_7_keyframe_1,0.9983698605325122
CREStereo,dataset_7_keyframe_1,0.9971656333038087
CREStereo,dataset_7_keyframe_1,0.9972958355868037
CREStereo,dataset_7_keyframe_1,0.9985611510791367
CREStereo,dataset_7_keyframe_1,0.9971484583853145
CREStereo,dataset_7_keyframe_1,0.9978906661979258
CREStereo,dataset_7_keyframe_1,0.9980650835532102
CREStereo,dataset_7_keyframe_1,0.9978832245545952
CREStereo,dataset_7_keyframe_1,0.9978914074855034
CREStereo,dataset_7_keyframe_1,0.9978783592644979
CREStereo,dataset_7_keyframe_1,0.9965065502183406
CREStereo,dataset_7_keyframe_1,0.9958405545927209
CREStereo,dataset_7_keyframe_1,0.9949991377823763
CREStereo,dataset_7_keyframe_1,0.9931200550395597
CREStereo,dataset_7_keyframe_1,0.9920981842636181
CREStereo,dataset_7_keyframe_1,0.9903667399019773
CREStereo,dataset_7_keyframe_1,0.9900270453008789
CREStereo,dataset_7_keyframe_1,0.989051709617652
CREStereo,dataset_7_keyframe_1,0.9896701099633456
CREStereo,dataset_7_keyframe_1,0.987508327781479
CREStereo,dataset_7_keyframe_1,0.9893687707641196
CREStereo,dataset_7_keyframe_1,0.9884412153236459
CREStereo,dataset_7_keyframe_1,0.9894961431150501
CREStereo,dataset_7_keyframe_1,0.991106719367589
CREStereo,dataset_7_keyframe_1,0.9893215048463939
CREStereo,dataset_7_keyframe_1,0.9920622063826341
CREStereo,dataset_7_keyframe_1,0.9929276315789474
CREStereo,dataset_7_keyframe_1,0.9960291197882197
CREStereo,dataset_7_keyframe_1,0.9959973315543695
CREStereo,dataset_7_keyframe_1,0.9963210702341138
CREStereo,dataset_7_keyframe_1,0.9969077478096547
CREStereo,dataset_7_keyframe_1,0.9958513396715644
CREStereo,dataset_7_keyframe_1,0.9960207612456747
CREStereo,dataset_7_keyframe_1,0.9977100581292936
CREStereo,dataset_7_keyframe_1,0.9966531618812753
CREStereo,dataset_7_keyframe_1,0.996618615411995
CREStereo,dataset_7_keyframe_1,0.9956032360182905
CREStereo,dataset_7_keyframe_1,0.996319018404908
CREStereo,dataset_7_keyframe_1,0.9967776584317938
CREStereo,dataset_7_keyframe_1,0.997686421071365
CREStereo,dataset_7_keyframe_1,0.9987590852685694
CREStereo,dataset_7_keyframe_1,0.9989262705798139
CREStereo,dataset_7_keyframe_1,0.9989214452633471
CREStereo,dataset_7_keyframe_1,0.9990977986286539
CREStereo,dataset_7_keyframe_1,0.9990989367453595
CREStereo,dataset_7_keyframe_1,0.9992794091154746
CREStereo,dataset_7_keyframe_1,0.9994562262098967
CREStereo,dataset_7_keyframe_1,0.9989245384477505
CREStereo,dataset_7_keyframe_1,0.9974475843208751
CREStereo,dataset_7_keyframe_1,0.9965722532924409
CREStereo,dataset_7_keyframe_1,0.9967793880837359
CREStereo,dataset_7_keyframe_1,0.9957492029755579
CREStereo,dataset_7_keyframe_1,0.9953546542790781
CREStereo,dataset_7_keyframe_1,0.9939694927279177
CREStereo,dataset_7_keyframe_1,0.9939220593493028
CREStereo,dataset_7_keyframe_1,0.991971454058876
CREStereo,dataset_7_keyframe_1,0.9925106990014265
CREStereo,dataset_7_keyframe_1,0.9891129751918615
CREStereo,dataset_7_keyframe_1,0.9897426669066043
CREStereo,dataset_7_keyframe_1,0.9893792345724226
CREStereo,dataset_7_keyframe_1,0.9897788515145883
CREStereo,dataset_7_keyframe_1,0.9888826078763897
CREStereo,dataset_7_keyframe_1,0.989648033126294
CREStereo,dataset_7_keyframe_1,0.9889481707317073
