namespace,coverage_threshold,backbone,sequence,method,epe,bad1,bad3,absrel,boundary_epe,false_update_rate,clean_degradation_ratio,clean_update_mean,new_bad3,valid_count,clean_count,raw_good3_count,boundary_count,common_valid_ratio,frames,frames_worsened_ratio,worst_frame_degradation,p95_frame_degradation
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,blend_0.25,0.1919537489584965,0.013645859881921017,0.002802617359601933,0.01864902329261375,0.2361624033500072,0.046190477567875844,0.108261477836882,0.01654822274458151,2.107206416901628e-05,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.171875,0.00776711106300354,0.0023139990866184214
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,blend_0.5,0.19113674059872002,0.01337729094328902,0.0026660491408077715,0.01857133984536501,0.23518689221666775,0.18801119605534777,0.24459842395176787,0.03309644413840042,6.504854591305024e-05,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.296875,0.018454954028129578,0.007206409424543377
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,heuristic_gate,0.19113210687898027,0.013475035420954407,0.002719032128701159,0.01857210814915291,0.235158462525881,0.14139792566366904,0.2102413245515841,0.02805113777501315,4.260221668953291e-05,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.2734375,0.015213266015052795,0.005494257062673564
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,learned_refiner,0.2044408541917164,0.013600641642253384,0.002759682869412464,0.0185252750698795,0.2660356338483631,0.620812687834269,0.3412540700438027,0.11885805675889428,3.252427295652512e-05,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.5625,0.08484011888504028,0.07133736237883567
cache,0.25,RAFT-Stereo,dataset_7_keyframe_1,oracle,0.16165865613997077,0.011052433974518838,0.0024509199399647937,0.01548712597983427,0.20061793375480869,0.20706049553054473,0.0,0.0293081454917392,0.0,2189382,2074302,2182985,1373767,0.6598976417824074,128,0.0,-0.018046438694000244,-0.02115660347044468
cache,0.5,RAFT-Stereo,dataset_7_keyframe_1,raw,0.1541744831897633,0.007651625504866583,0.002245690701626608,0.020252318608425916,0.15864278180002817,0.0,0.0,0.0,0.0,724944,707516,723316,635413,0.2185040509259259,128,0.0,0.0,0.0
cache,0.5,RAFT-Stereo,dataset_7_keyframe_1,memory,0.15594344669971283,0.007625416583901653,0.002125681431945088,0.02043982524062182,0.16045531251769538,0.42722567404836076,0.3633161652881348,0.06342175677241163,0.0001396346824900873,724944,707516,723316,635413,0.2185040509259259,128,0.5390625,0.042879536747932434,0.028302046656608574
cache,0.5,RAFT-Stereo,dataset_7_keyframe_1,blend_0.1,0.15286164533214477,0.007512304398684588,0.0022277582820190247,0.02006338636527673,0.15727310691273774,0.0042726948931190245,0.016104229444987815,0.006342195876884226,2.7650432176254917e-06,724944,707516,723316,635413,0.2185040509259259,128,0.21875,0.00264933705329895,0.0013298176229000075
cache,0.5,RAFT-Stereo,dataset_7_keyframe_1,blend_0.25,0.1515521186101629,0.007364706791145247,0.0021849963583394027,0.019869880916432523,0.15590838775280805,0.044855522701960096,0.1008556696951023,0.01585543938529458,9.67765126168922e-06,724944,707516,723316,635413,0.2185040509259259,128,0.28125,0.007559716701507568,0.0040144108235836
cache,0.5,RAFT-Stereo,dataset_7_keyframe_1,blend_0.5,0.15101644771037565,0.007345394954644773,0.0021132666799090686,0.019777636905625753,0.1553514432806044,0.17696136907151216,0.23011917751683353,0.03171087876288338,2.7650432176254915e-05,724944,707516,723316,635413,0.2185040509259259,128,0.40625,0.017966732382774353,0.010030655562877648
cache,0.5,RAFT-Stereo,dataset_7_keyframe_1,heuristic_gate,0.15099617265354862,0.007360568540466574,0.00212844026573087,0.019780009379334985,0.15533002688874686,0.14417341798630703,0.20673313395032764,0.02798194890734461,2.4885388958629424e-05,724944,707516,723316,635413,0.2185040509259259,128,0.375,0.016489088535308838,0.009334224462509146
